Name,Description,Location,Latitude,Longitude,Type Of Site,Historical Era,Key Features,Opening Hours,Typical Visit Duration,Entry Fee,Text
Pyramids of Giza,"Comprising the Great Pyramid of Khufu, the Pyramid of Khafre, and the Pyramid of Menkaure, these monumental structures were built as tombs for Old Kingdom pharaohs. They stand as the last remaining wonder of the ancient world and exemplify the pinnacle of Egyptian pyramid construction techniques.",giza,29.9792,31.1342,pyramid,pharaonic,"['Pharaonic tombs', 'UNESCO World Heritage Site', 'Largest pyramid: Khufu']",08:00 - 17:00,2 - 3 hours,"240 EGP (foreigners), 60 EGP (Egyptians)","Name: Pyramids of Giza, Description: Comprising the Great Pyramid of Khufu, the Pyramid of Khafre, and the Pyramid of Menkaure, these monumental structures were built as tombs for Old Kingdom pharaohs. They stand as the last remaining wonder of the ancient world and exemplify the pinnacle of Egyptian pyramid construction techniques., Location: giza, Key Features: ['Pharaonic tombs', 'UNESCO World Heritage Site', 'Largest pyramid: Khufu'], Historical Era: pharaonic, Type: pyramid, Opening Hours: 08:00 - 17:00, Visit Duration: 2 - 3 hours, Entry Fee: 240 EGP (foreigners), 60 EGP (Egyptians)"
Great Sphinx of Giza,"Carved from a single piece of limestone, the Sphinx is thought to represent King Khafre and guards the Giza Plateau. Its enigmatic features and colossal size make it one of the world's most famous statues, reflecting ancient Egyptians' artistic mastery.",giza,29.9753,31.1376,monument,pharaonic,"['Symbol of royal power', 'Mythical guardian', 'Adjacent to Pyramids of Giza']",08:00 - 17:00,1 - 2 hours,Included with main Giza Plateau ticket,"Name: Great Sphinx of Giza, Description: Carved from a single piece of limestone, the Sphinx is thought to represent King Khafre and guards the Giza Plateau. Its enigmatic features and colossal size make it one of the world's most famous statues, reflecting ancient Egyptians' artistic mastery., Location: giza, Key Features: ['Symbol of royal power', 'Mythical guardian', 'Adjacent to Pyramids of Giza'], Historical Era: pharaonic, Type: monument, Opening Hours: 08:00 - 17:00, Visit Duration: 1 - 2 hours, Entry Fee: Included with main Giza Plateau ticket"
Saqqara Necropolis,"Part of the ancient burial grounds of Memphis, Saqqara is best known for the Step Pyramid of Djoser, considered the world’s earliest large-scale stone monument. The site spans multiple dynasties and contains intricate tombs that offer insight into royal and noble funerary practices.",giza,29.871,31.2165,necropolis,pharaonic,"['Step Pyramid of Djoser', 'Funerary complex', 'Early pyramid-building techniques']",08:00 - 17:00,2 - 3 hours,"200 EGP (foreigners), 40 EGP (Egyptians)","Name: Saqqara Necropolis, Description: Part of the ancient burial grounds of Memphis, Saqqara is best known for the Step Pyramid of Djoser, considered the world’s earliest large-scale stone monument. The site spans multiple dynasties and contains intricate tombs that offer insight into royal and noble funerary practices., Location: giza, Key Features: ['Step Pyramid of Djoser', 'Funerary complex', 'Early pyramid-building techniques'], Historical Era: pharaonic, Type: necropolis, Opening Hours: 08:00 - 17:00, Visit Duration: 2 - 3 hours, Entry Fee: 200 EGP (foreigners), 40 EGP (Egyptians)"
Dahshur Pyramids,"This archaeological area features the Bent Pyramid and the Red Pyramid, both commissioned by Pharaoh Sneferu. The Bent Pyramid illustrates an experimental phase of pyramid construction, while the Red Pyramid is the first successfully smooth-sided pyramid in history.",giza,29.8221,31.2055,pyramid,pharaonic,"['Bent Pyramid', 'Red Pyramid', 'Transition in pyramid architecture']",08:00 - 17:00,1 - 2 hours,"200 EGP (foreigners), 40 EGP (Egyptians)","Name: Dahshur Pyramids, Description: This archaeological area features the Bent Pyramid and the Red Pyramid, both commissioned by Pharaoh Sneferu. The Bent Pyramid illustrates an experimental phase of pyramid construction, while the Red Pyramid is the first successfully smooth-sided pyramid in history., Location: giza, Key Features: ['Bent Pyramid', 'Red Pyramid', 'Transition in pyramid architecture'], Historical Era: pharaonic, Type: pyramid, Opening Hours: 08:00 - 17:00, Visit Duration: 1 - 2 hours, Entry Fee: 200 EGP (foreigners), 40 EGP (Egyptians)"
Memphis,"Once the capital of Lower Egypt, Memphis was a religious and political center for centuries. Today, the open-air museum includes a colossal statue of Ramses II and other artifacts that illustrate the city’s former grandeur.",giza,29.8446,31.2504,archaeological site,pharaonic,"['Colossal Ramses II statue', 'Former capital', 'Artifacts from multiple eras']",08:00 - 17:00,1 - 2 hours,"160 EGP (foreigners), 40 EGP (Egyptians)","Name: Memphis, Description: Once the capital of Lower Egypt, Memphis was a religious and political center for centuries. Today, the open-air museum includes a colossal statue of Ramses II and other artifacts that illustrate the city’s former grandeur., Location: giza, Key Features: ['Colossal Ramses II statue', 'Former capital', 'Artifacts from multiple eras'], Historical Era: pharaonic, Type: archaeological site, Opening Hours: 08:00 - 17:00, Visit Duration: 1 - 2 hours, Entry Fee: 160 EGP (foreigners), 40 EGP (Egyptians)"
Egyptian Museum,"One of the world’s largest repositories of ancient Egyptian artifacts, including the famed treasures of Tutankhamun, royal mummies, and thousands of statues and relics. It provides a comprehensive overview of ancient Egyptian civilization spanning multiple dynasties.",cairo,30.0478,31.2336,museum,pharaonic,"['Tutankhamun collection', 'Royal mummies', 'Extensive ancient artifacts']",09:00 - 19:00,2 - 3 hours,"200 EGP (foreigners), 60 EGP (Egyptians)","Name: Egyptian Museum, Description: One of the world’s largest repositories of ancient Egyptian artifacts, including the famed treasures of Tutankhamun, royal mummies, and thousands of statues and relics. It provides a comprehensive overview of ancient Egyptian civilization spanning multiple dynasties., Location: cairo, Key Features: ['Tutankhamun collection', 'Royal mummies', 'Extensive ancient artifacts'], Historical Era: pharaonic, Type: museum, Opening Hours: 09:00 - 19:00, Visit Duration: 2 - 3 hours, Entry Fee: 200 EGP (foreigners), 60 EGP (Egyptians)"
Museum of Islamic Art,"Housing an extensive collection of Islamic art from across the globe, this museum showcases manuscripts, metalwork, ceramics, and textiles. Its exhibits trace the evolution of Islamic art and craftsmanship over centuries.",cairo,30.0444,31.2572,museum,islamic,"['Manuscripts', 'Ceramics', 'Metalwork spanning various Islamic periods']",09:00 - 17:00,1 - 2 hours,"120 EGP (foreigners), 20 EGP (Egyptians)","Name: Museum of Islamic Art, Description: Housing an extensive collection of Islamic art from across the globe, this museum showcases manuscripts, metalwork, ceramics, and textiles. Its exhibits trace the evolution of Islamic art and craftsmanship over centuries., Location: cairo, Key Features: ['Manuscripts', 'Ceramics', 'Metalwork spanning various Islamic periods'], Historical Era: islamic, Type: museum, Opening Hours: 09:00 - 17:00, Visit Duration: 1 - 2 hours, Entry Fee: 120 EGP (foreigners), 20 EGP (Egyptians)"
Saladin Citadel,"Constructed by Sultan Salah ad-Din (Saladin) to protect Cairo from Crusader attacks, this medieval fortification offers striking views over the city. It also houses several historic mosques and museums within its walls.",cairo,30.0299,31.2617,fortress,islamic,"['Strategic defense architecture', 'Panoramic city views', 'Historic mosques within walls']",09:00 - 17:00,2 - 3 hours,"200 EGP (foreigners), 40 EGP (Egyptians)","Name: Saladin Citadel, Description: Constructed by Sultan Salah ad-Din (Saladin) to protect Cairo from Crusader attacks, this medieval fortification offers striking views over the city. It also houses several historic mosques and museums within its walls., Location: cairo, Key Features: ['Strategic defense architecture', 'Panoramic city views', 'Historic mosques within walls'], Historical Era: islamic, Type: fortress, Opening Hours: 09:00 - 17:00, Visit Duration: 2 - 3 hours, Entry Fee: 200 EGP (foreigners), 40 EGP (Egyptians)"
Mosque of Muhammad Ali,"Also called the Alabaster Mosque for its gleaming interior walls, this 19th-century Ottoman-style structure was built by Muhammad Ali Pasha. Its prominent dome and twin minarets dominate the skyline of the Citadel.",cairo,30.0288,31.2615,mosque,islamic,"['Ottoman domes and minarets', 'Alabaster interior', 'Iconic city landmark']",09:00 - 17:00,1 - 2 hours,Included with Citadel ticket,"Name: Mosque of Muhammad Ali, Description: Also called the Alabaster Mosque for its gleaming interior walls, this 19th-century Ottoman-style structure was built by Muhammad Ali Pasha. Its prominent dome and twin minarets dominate the skyline of the Citadel., Location: cairo, Key Features: ['Ottoman domes and minarets', 'Alabaster interior', 'Iconic city landmark'], Historical Era: islamic, Type: mosque, Opening Hours: 09:00 - 17:00, Visit Duration: 1 - 2 hours, Entry Fee: Included with Citadel ticket"
Mosque of Ibn Tulun,"Founded by Ahmad ibn Tulun in the 9th century, this mosque is one of Cairo’s oldest and largest. Its distinctive spiral minaret and expansive courtyard exemplify early Islamic architecture in Egypt.",cairo,30.0245,31.2497,mosque,islamic,"['Spiral minaret', 'Large courtyard', 'Historic Islamic architecture']",09:00 - 17:00,1 - 2 hours,"60 EGP (foreigners), 10 EGP (Egyptians)","Name: Mosque of Ibn Tulun, Description: Founded by Ahmad ibn Tulun in the 9th century, this mosque is one of Cairo’s oldest and largest. Its distinctive spiral minaret and expansive courtyard exemplify early Islamic architecture in Egypt., Location: cairo, Key Features: ['Spiral minaret', 'Large courtyard', 'Historic Islamic architecture'], Historical Era: islamic, Type: mosque, Opening Hours: 09:00 - 17:00, Visit Duration: 1 - 2 hours, Entry Fee: 60 EGP (foreigners), 10 EGP (Egyptians)"
